,CreditScore,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Geography_France,Geography_Germany,Geography_Spain
0,619,Female,3.7612001156935624,2,0.0,1,1,1,101348.88,1,True,False,False
1,608,Female,3.7376696182833684,1,83807.86,1,0,1,112542.58,0,False,False,True
2,502,Female,3.7612001156935624,8,159660.8,3,1,0,113931.57,1,True,False,False
3,699,Female,3.6888794541139363,1,0.0,2,0,0,93826.63,0,True,False,False
4,850,Female,3.784189633918261,2,125510.82,1,1,1,79084.1,0,False,False,True
5,645,Male,3.8066624897703196,8,113755.78,2,1,0,149756.71,1,False,False,True
6,822,Male,3.9318256327243257,7,0.0,2,1,1,10062.8,0,True,False,False
7,376,Female,3.4011973816621555,4,115046.74,4,1,0,119346.88,1,False,True,False
8,501,Male,3.8066624897703196,4,142051.07,2,0,1,74940.5,0,True,False,False
9,684,Male,3.332204510175204,2,134603.88,1,1,1,71725.73,0,True,False,False
10,528,Male,3.4657359027997265,6,102016.72,2,0,0,80181.12,0,True,False,False
11,497,Male,3.2188758248682006,3,0.0,2,1,0,76390.01,0,False,False,True
12,476,Female,3.5553480614894135,10,0.0,2,1,0,26260.98,0,True,False,False
13,549,Female,3.258096538021482,5,0.0,2,0,0,190857.79,0,True,False,False
14,635,Female,3.58351893845611,7,0.0,2,1,1,65951.65,0,False,False,True
15,616,Male,3.828641396489095,3,143129.41,2,0,1,64327.26,0,False,True,False
16,653,Male,4.07753744390572,1,132602.88,1,1,0,5097.67,1,False,True,False
17,549,Female,3.2188758248682006,9,0.0,2,1,1,14406.41,0,False,False,True
18,587,Male,3.828641396489095,6,0.0,1,0,0,158684.81,0,False,False,True
19,726,Female,3.2188758248682006,6,0.0,2,1,1,54724.03,0,True,False,False
20,732,Male,3.7376696182833684,8,0.0,2,1,1,170886.17,0,True,False,False
21,636,Female,3.4965075614664802,8,0.0,2,1,0,138555.46,0,False,False,True
22,510,Female,3.6635616461296463,4,0.0,1,1,0,118913.53,1,False,False,True
23,669,Male,3.8501476017100584,3,0.0,2,0,1,8487.75,0,True,False,False
24,846,Female,3.6635616461296463,5,0.0,1,1,1,187616.16,0,True,False,False
25,577,Male,3.258096538021482,3,0.0,2,0,1,124508.29,0,True,False,False
26,756,Male,3.6109179126442243,2,136815.64,1,1,1,170041.95,0,False,True,False
27,571,Male,3.8066624897703196,9,0.0,2,0,0,38433.35,0,True,False,False
28,574,Female,3.784189633918261,3,141349.43,1,1,1,100187.43,0,False,True,False
29,411,Male,3.4011973816621555,0,59697.17,2,1,1,53483.21,0,True,False,False
30,591,Female,3.6888794541139363,3,0.0,3,1,0,140469.38,1,False,False,True
31,533,Male,3.6109179126442243,7,85311.7,1,0,1,156731.91,0,True,False,False
32,553,Male,3.7376696182833684,9,110112.54,2,0,0,81898.81,0,False,True,False
33,520,Female,3.7612001156935624,6,0.0,2,1,1,34410.55,0,False,False,True
34,722,Female,3.4011973816621555,9,0.0,2,1,1,142033.07,0,False,False,True
35,475,Female,3.828641396489095,0,134264.04,1,1,0,27822.99,1,True,False,False
36,490,Male,3.4657359027997265,3,145260.23,1,0,1,114066.77,0,False,False,True
37,804,Male,3.5263605246161616,7,76548.6,1,0,1,98453.45,0,False,False,True
38,850,Male,3.6109179126442243,7,0.0,1,1,1,40812.9,0,True,False,False
39,582,Male,3.7376696182833684,6,70349.48,2,0,1,178074.04,0,False,True,False
40,472,Male,3.713572066704308,4,0.0,1,1,0,70154.22,0,False,False,True
41,465,Female,3.9512437185814275,8,122522.32,1,0,0,181297.65,1,True,False,False
42,556,Female,4.127134385045092,2,117419.35,1,1,1,94153.83,0,True,False,False
43,834,Female,3.912023005428146,2,131394.56,1,0,0,194365.76,1,True,False,False
44,660,Female,4.127134385045092,5,155931.11,1,1,1,158338.39,0,False,False,True
45,776,Female,3.4965075614664802,4,109421.13,2,1,1,126517.46,0,False,True,False
46,829,Female,3.332204510175204,9,112045.67,1,1,1,119708.21,1,False,True,False
47,637,Female,3.6888794541139363,9,137843.8,1,1,1,117622.8,1,False,True,False
